8,7,128,0.022
9,7,128,0.025
10,7,128,0.024
11,7,128,0.075
12,7,128,0.078
13,7,128,0.076
14,7,128,0.076
15,7,128,0.076
16,7,128,0.075
17,7,128,0.075
18,7,128,0.076
19,7,128,0.075
20,7,128,0.075
21,7,128,0.077
22,7,128,0.076
23,7,128,0.077
24,7,128,0.076
25,7,128,0.076
26,7,128,0.079
27,7,128,0.282
28,7,128,0.291
29,7,128,0.283
30,7,128,0.284
31,7,128,0.276
32,7,128,0.28
33,7,128,0.282
34,7,128,0.281
35,7,128,0.281
36,7,128,0.291
37,7,128,0.284
38,7,128,0.281
39,7,128,0.287
40,7,128,0.286
41,7,128,0.305
42,7,128,0.291
43,7,128,0.295
44,7,128,0.304
45,7,128,0.305
46,7,128,0.303
47,7,128,0.293
48,7,128,0.326
49,7,128,0.291
50,7,128,0.305
51,7,128,0.296
52,7,128,0.296
53,7,128,0.305
54,7,128,0.285
55,7,128,0.276
56,7,128,0.301
57,7,128,0.294
58,7,128,0.285
59,7,128,1.132
60,7,128,1.128
61,7,128,1.121
62,7,128,1.155
63,7,128,1.172
64,7,128,1.149
65,7,128,1.168
66,7,128,1.155
67,7,128,1.145
68,7,128,1.187
69,7,128,1.124
70,7,128,1.092
71,7,128,1.096
72,7,128,1.083
73,7,128,1.093
74,7,128,1.069
75,7,128,1.082
76,7,128,1.097
77,7,128,1.092
78,7,128,1.094
79,7,128,1.093
80,7,128,1.095
